time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,4.666666667,3.833333333,0.515432099, 
360, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6,5.666666667,0.944444444, 
540, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6,5.666666667,0.944444444, 
720, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6,5.666666667,0.944444444, 
900, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6,5.666666667,0.944444444, 
1080, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6.166666667,5.777777778,0.941358025, 
1260, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.875,0.5,0.8676875,6,5.666666667,0.944444444, 
1440, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10.27777778,9.5,0.92962963, 
1620, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10.27777778,9.666666667,0.948148148, 
1800, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.666666667,0.966666667, 
1980, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.777777778,0.977777778, 
2160, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10.27777778,9.666666667,0.946296296, 
2340, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.722222222,0.972222222, 
2520, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.722222222,0.972222222, 
2700, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.611111111,0.961111111, 
2880, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.722222222,0.972222222, 
3060, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.666666667,0.966666667, 
3240, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.666666667,0.966666667, 
3420, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.777777778,0.977777778, 
3600, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,0.5,0.792687497,10,9.611111111,0.961111111, 
3780, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
3960, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
4140, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.611111111,0.961111111, 
4320, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10.27777778,9.722222222,0.951851852, 
4500, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
4680, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10.27777778,9.666666667,0.946296296, 
4860, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
5040, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
5220, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.611111111,0.961111111, 
5400, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
5580, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
5760, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.611111111,0.961111111, 
5940, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
6120, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.722222222,0.972222222, 
6300, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.666666667,0.966666667, 
6480, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.666666667,0.966666667, 
6660, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10.27777778,9.777777778,0.957407407, 
6840, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.611111111,0.961111111, 
7020, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10,9.666666667,0.966666667, 
7200, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1,0.785374997,10.27777778,9.777777778,0.957407407, 
7380, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.666666667,0.966666667, 
7560, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.666666667,0.966666667, 
7740, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.722222222,0.972222222, 
7920, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.666666667,0.966666667, 
8100, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.611111111,0.961111111, 
8280, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.666666667,0.966666667, 
8460, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.611111111,0.961111111, 
8640, COORD, b9867cfd-6c34-465b-8b01-0fcbd079e88c,0.799999997,1.5,0.778062497,10,9.666666667,0.966666667, 
