time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,4.666666667,3.166666667,0.435185185, 
360, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
540, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
720, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5.111111111,0.851851852, 
900, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
1080, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6.166666667,5.055555556,0.827160494, 
1260, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
1440, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6.166666667,5,0.817901235, 
1620, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6.166666667,5,0.817901235, 
1800, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
1980, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
2160, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6.166666667,5,0.817901235, 
2340, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
2520, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5.055555556,0.842592593, 
2700, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
2880, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
3060, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5.055555556,0.842592593, 
3240, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
3420, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
3600, COORD, 7acd18f3-0357-4640-9f3f-095e6f940ff0,0.832499996,0.479999989,0.825479996,6,5,0.833333333, 
