time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 39.5, 11.88888888888889, 0.1843033509700176, 
360.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.0, 0.3015873015873015, 
540.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.0, 0.3015873015873015, 
720.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 58.0, 18.22222222222222, 0.31569664902998235, 
900.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.0, 0.30158730158730157, 
1080.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 58.5, 18.38888888888889, 0.31613756613756616, 
1260.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.666666666666668, 0.3127572016460905, 
1440.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.5, 18.77777777777778, 0.31172839506172834, 
1620.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.77777777777778, 0.31452087007642554, 
1800.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.666666666666668, 0.31275720164609044, 
1980.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 58.5, 18.38888888888889, 0.3159905937683715, 
2160.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.5, 18.27777777777778, 0.30335097001763667, 
2340.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.555555555555557, 0.31084656084656076, 
2520.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 63.0, 18.11111111111111, 0.28747795414462074, 
2700.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 61.0, 18.666666666666668, 0.30731922398589057, 
2880.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 58.0, 18.11111111111111, 0.31393298059964714, 
3060.0, COORD, a2904c12-ea20-4de5-8776-36d651f95ca4, 0.875, 1.5, 0.8530624996870756, 60.0, 18.61111111111111, 0.31231628453850674, 
