time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,98.66666667,32.77777778,0.203373016,0.795833333
360, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,150.6666667,50,0.333443563,0.795833333
540, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,149.3333333,50,0.336199295,0.795833333
720, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,153.3333333,50.55555556,0.331238977,0.795833333
900, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.795833333
1080, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,158.6666667,50.55555556,0.320216049,0.795833333
1260, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,152,50,0.330687831,0.795833333
1440, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,145.3333333,50.27777778,0.346395503,0.795833333
1620, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,150.6666667,50.27777778,0.335372575,0.795833333
1800, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.795833333
1980, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,146.6666667,50.55555556,0.345017637,0.795833333
2160, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,144,50.27777778,0.349151235,0.795833333
2340, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,152,50,0.330687831,0.795833333
2520, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,150.6666667,50.27777778,0.335097002,0.795833333
2700, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,148,50,0.338955026,0.795833333
2880, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.795833333
3060, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,152,50.27777778,0.33234127,0.795833333
3240, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,149.3333333,50,0.336199295,0.795833333
3420, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,148,50.27777778,0.340608466,0.795833333
3600, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.795833333
3780, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,150.6666667,50.27777778,0.335097002,0.716666667
3960, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,149.3333333,50,0.336199295,0.716666667
4140, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,146.6666667,50,0.341710758,0.716666667
4320, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,152,50.27777778,0.33234127,0.716666667
4500, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,149.3333333,50,0.336199295,0.716666667
4680, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,149.3333333,50.27777778,0.338128307,0.716666667
4860, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,146.6666667,50,0.341710758,0.716666667
5040, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,150.6666667,50.27777778,0.335097002,0.716666667
5220, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,149.3333333,50,0.336199295,0.716666667
5400, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,156,50.27777778,0.324074074,0.716666667
5580, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,146.6666667,50,0.341710758,0.716666667
5760, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,149.3333333,50,0.336199295,0.716666667
5940, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,148,50.27777778,0.340608466,0.716666667
6120, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,154.6666667,50,0.325176367,0.716666667
6300, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,153.3333333,50.27777778,0.329585538,0.716666667
6480, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,150.6666667,50,0.333443563,0.716666667
6660, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,148,50.27777778,0.340608466,0.716666667
6840, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,154.6666667,50,0.325176367,0.716666667
7020, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,152,50,0.330687831,0.716666667
7200, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,19,0.597124996,150.6666667,50.27777778,0.335097002,0.716666667
7380, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,146.6666667,50,0.341710758,0.6375
7560, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,154.6666667,50.27777778,0.326829806,0.6375
7740, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,150.6666667,50,0.333443563,0.6375
7920, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,149.3333333,50.27777778,0.337852734,0.6375
8100, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,154.6666667,50,0.325176367,0.6375
8280, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,152,50.27777778,0.33234127,0.6375
8460, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,150.6666667,50.55555556,0.337301587,0.6375
8640, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,150.6666667,50.55555556,0.336750441,0.6375
8820, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,152,50.55555556,0.333994709,0.6375
9000, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,141.3333333,50.27777778,0.356867284,0.6375
9180, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,149.3333333,50.55555556,0.340057319,0.6375
9360, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,148,50.83333333,0.34529321,0.6375
9540, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,149.3333333,50.27777778,0.337852734,0.6375
9720, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,145.3333333,50.27777778,0.348600088,0.6375
9900, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,152,50.83333333,0.335648148,0.6375
10080, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,150.6666667,50.27777778,0.335097002,0.6375
10260, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,145.3333333,50.27777778,0.346119929,0.6375
10440, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,152,50.83333333,0.336199295,0.6375
10620, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,148,50.55555556,0.342261905,0.6375
10800, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,28.5,0.458187494,156,50.27777778,0.324074074,0.6375
10980, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,148,50.55555556,0.342537478,0.558333333
11160, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,149.3333333,50.55555556,0.339506173,0.558333333
11340, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,148,50.27777778,0.340608466,0.558333333
11520, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,146.6666667,50.55555556,0.34529321,0.558333333
11700, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,156,50.55555556,0.325727513,0.558333333
11880, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,146.6666667,50.55555556,0.34529321,0.558333333
12060, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,154.6666667,50.27777778,0.327105379,0.558333333
12240, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,145.3333333,50.55555556,0.348048942,0.558333333
12420, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,152,50.83333333,0.336199295,0.558333333
12600, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,145.3333333,50.27777778,0.346119929,0.558333333
12780, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,150.6666667,50.27777778,0.335097002,0.558333333
12960, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,152,50.83333333,0.335923721,0.558333333
13140, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,149.3333333,50.27777778,0.338128307,0.558333333
13320, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,152,50.27777778,0.33234127,0.558333333
13500, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,150.6666667,50.83333333,0.338679453,0.558333333
13680, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,150.6666667,50.55555556,0.337026014,0.558333333
13860, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,145.3333333,50.27777778,0.346119929,0.558333333
14040, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,150.6666667,50.55555556,0.336750441,0.558333333
14220, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,152,50.55555556,0.333994709,0.558333333
14400, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,38,0.319249992,149.3333333,50.27777778,0.338128307,0.558333333
14580, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,152,50.55555556,0.334270282,0.479166667
14760, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,146.6666667,50.55555556,0.345017637,0.479166667
14940, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,153.3333333,50.55555556,0.331238977,0.479166667
15120, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,149.3333333,50.27777778,0.338128307,0.479166667
15300, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,152,50.55555556,0.333994709,0.479166667
15480, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.83333333,0.338679453,0.479166667
15660, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,149.3333333,50.27777778,0.338128307,0.479166667
15840, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.27777778,0.335097002,0.479166667
16020, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,145.3333333,50.83333333,0.349977954,0.479166667
16200, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.27777778,0.335097002,0.479166667
16380, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.27777778,0.335372575,0.479166667
16560, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,152,50.83333333,0.335648148,0.479166667
16740, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,152,50.55555556,0.333994709,0.479166667
16920, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,145.3333333,50.27777778,0.346119929,0.479166667
17100, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.55555556,0.337301587,0.479166667
17280, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,148,50.55555556,0.342537478,0.479166667
17460, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,153.3333333,50.27777778,0.329585538,0.479166667
17640, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,149.3333333,50.55555556,0.339781746,0.479166667
17820, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,153.3333333,50.55555556,0.331238977,0.479166667
18000, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,47.5,0.18031249,150.6666667,50.55555556,0.336750441,0.479166667
18180, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,144,50.27777778,0.349977954,0.4
18360, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,149.3333333,50.55555556,0.340884039,0.4
18540, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,142.6666667,50.83333333,0.357694004,0.4
18720, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,154.6666667,50.27777778,0.327932099,0.4
18900, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,144,50.27777778,0.351080247,0.4
19080, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,149.3333333,50.83333333,0.342537478,0.4
19260, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,146.6666667,50.27777778,0.343364198,0.4
19440, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,148,50.27777778,0.340608466,0.4
19620, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,153.3333333,50.83333333,0.333167989,0.4
19800, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,148,50.55555556,0.342537478,0.4
19980, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,153.3333333,50.27777778,0.329585538,0.4
20160, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,146.6666667,50.55555556,0.34529321,0.4
20340, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,152,50.55555556,0.334270282,0.4
20520, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,145.3333333,50.27777778,0.346119929,0.4
20700, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,152,50.55555556,0.333994709,0.4
20880, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,150.6666667,50.55555556,0.336750441,0.4
21060, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,152,50.55555556,0.334270282,0.4
21240, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,149.3333333,50.27777778,0.338128307,0.4
21420, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,146.6666667,50.55555556,0.345017637,0.4
21600, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,57,0.041374988,152,50.83333333,0.335923721,0.4
21780, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.27777778,0.335097002,0.320833333
21960, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.27777778,0.335097002,0.320833333
22140, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,152,50.83333333,0.335923721,0.320833333
22320, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,149.3333333,50.27777778,0.338128307,0.320833333
22500, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,152,50.27777778,0.33234127,0.320833333
22680, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,145.3333333,50.83333333,0.349977954,0.320833333
22860, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,153.3333333,50.55555556,0.331238977,0.320833333
23040, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.27777778,0.335097002,0.320833333
23220, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,152,50.55555556,0.333994709,0.320833333
23400, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.55555556,0.336750441,0.320833333
23580, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,145.3333333,50.27777778,0.346119929,0.320833333
23760, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,149.3333333,50.55555556,0.340057319,0.320833333
23940, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.55555556,0.337026014,0.320833333
24120, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.55555556,0.336750441,0.320833333
24300, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,150.6666667,50.27777778,0.335372575,0.320833333
24480, COORD, aa420539-035a-4f7a-b146-25ef9cc48508,0.875,66.5,-0.097562514,152,50.55555556,0.333994709,0.320833333
