time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,2.833333333,1.944444444,0.478395062, 
360, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3,0.916666667, 
540, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3,0.916666667, 
720, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3,0.916666667, 
900, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3,0.916666667, 
1080, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3.055555556,0.925925926, 
1260, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.832499996,0.479999989,0.825479996,3,3,0.916666667, 
1440, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.111111111,2.411111111, 
1620, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,4.611111111,2.211111111, 
1800, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.166666667,2.466666667, 
1980, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.444444444,2.594444444, 
2160, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.444444444,2.594444444, 
2340, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.388888889,2.538888889, 
2520, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.444444444,2.594444444, 
2700, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5,2.45, 
2880, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,4.666666667,2.216666667, 
3060, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,4.944444444,2.294444444, 
3240, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.111111111,2.411111111, 
3420, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.055555556,2.455555556, 
3600, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.479999989,0.792979997,5,5.111111111,2.461111111, 
3780, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.333333333,2.583333333, 
3960, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.166666667,2.466666667, 
4140, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.555555556,2.605555556, 
4320, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.444444444,2.594444444, 
4500, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.333333333,2.583333333, 
4680, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,4.944444444,2.394444444, 
4860, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5,2.35, 
5040, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,4.666666667,2.266666667, 
5220, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,4.833333333,2.333333333, 
5400, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5,2.45, 
5580, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.277777778,2.477777778, 
5760, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.388888889,2.538888889, 
5940, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.277777778,2.477777778, 
6120, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.722222222,2.722222222, 
6300, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.5,2.6, 
6480, COORD, 5d40719e-ca02-470d-b865-b451a60ef6f4,0.799999997,0.959999979,0.785959997,5,5.222222222,2.522222222, 
