time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,21,12.11111111,5.55026455,0.576719577
360, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.320252792,0.611111111
540, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.320252792,0.611111111
720, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.55555556,9.323780129,0.618518519
900, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.320252792,0.611111111
1080, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,31.5,18.5,9.369488536,0.587301587
1260, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.320252792,0.611111111
1440, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.44444444,9.431363904,0.614814815
1620, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.44444444,9.431363904,0.614814815
1800, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.320252792,0.611111111
1980, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.55555556,9.542475015,0.618518519
2160, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,31.5,18.38888889,9.367724868,0.58377425
2340, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,31,18.33333333,9.369488536,0.591397849
2520, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.38888889,9.375808348,0.612962963
2700, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,28.5,18.33333333,9.328336273,0.643274854
2880, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,30,18.33333333,9.265579071,0.611111111
3060, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,29,18.5,9.492357437,0.637931034
3240, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,31.5,18.33333333,9.312169312,0.582010582
3420, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,31.5,18.38888889,9.258377425,0.58377425
3600, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,1.5,0.8530625,29,18.33333333,9.32569077,0.632183908
3780, COORD, 49710813-645a-4f22-a797-cea7f9109e25,0.875,3,0.831124999,30.5,18.38888889,9.318930041,0.60291439
