time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,54.66666667,32.77777778,14.8324515,0.599593496,0.795833333
360, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.795833333
540, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.795833333
720, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,80,50.55555556,25.1603836,0.631944444,0.795833333
900, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.795833333
1080, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,77.33333333,50.55555556,25.4420194,0.653735632,0.795833333
1260, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.795833333
1440, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,72,50.27777778,25.45138889,0.698302469,0.795833333
1620, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.795833333
1800, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.795833333
1980, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,80,50.55555556,25.71263228,0.631944444,0.795833333
2160, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.795833333
2340, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.795833333
2520, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.795833333
2700, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,80,50,25.15707672,0.625,0.795833333
2880, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,78.66666667,50,25.15983245,0.63559322,0.795833333
3060, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.795833333
3240, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.795833333
3420, COORD, 18ba547d-0e22-4386-96c8-abe204055698,0.875,9.5,0.736062498,81.33333333,50.27777778,25.15597443,0.618169399,0.795833333
