time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,54,47.55555556,18.84499314,0.880658436,0.712500078
360, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,72,66.66666667,26.94444444,0.925925926,0.712500078
540, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,78,66.66666667,26.92386831,0.854700855,0.712500078
720, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,74,67.55555556,26.9430727,0.912912913,0.712500078
900, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,75,68.11111111,28.37860082,0.908148148,0.712500078
1080, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,76,68.11111111,32.95567558,0.89619883,0.712500078
1260, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.832499996,14.39999008,0.621900138,72,70,35.24305556,0.972222222,0.712500078
1440, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,14.39999008,0.496900138,208,70.38888889,35.47328318,0.33840812,0.587500078
1620, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,14.39999008,0.496900138,192,70.38888889,35.48003472,0.366608796,0.587500078
1800, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,14.39999008,0.496900138,208,70,35.08439429,0.336538462,0.587500078
1980, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,192,126.5555556,61.72482639,0.659143519,0.57550009
2160, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150.8333333,76.02141204,0.754166667,0.57550009
2340, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,194.6666667,150,75.19290123,0.770547945,0.57550009
2520, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150.8333333,76.02141204,0.754166667,0.57550009
2700, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150,75.1880787,0.75,0.57550009
2880, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150,75.1880787,0.75,0.57550009
3060, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,205.3333333,150.8333333,76.01658951,0.734577922,0.57550009
3240, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150,75.1880787,0.75,0.57550009
3420, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,194.6666667,150.8333333,75.19483025,0.774828767,0.57550009
3600, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,15.83998871,0.475840158,200,150,75.1880787,0.75,0.57550009
3780, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,202.6666667,150.8333333,75.18759645,0.744243421,0.455500173
3960, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,208,150,75.18084491,0.721153846,0.455500173
4140, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,200,150,75.1880787,0.75,0.455500173
4320, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,194.6666667,150.8333333,75.19483025,0.774828767,0.455500173
4500, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,200,150,75.1880787,0.75,0.455500173
4680, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,192,150.8333333,76.02864583,0.785590278,0.455500173
4860, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,194.6666667,150,75.19290123,0.770547945,0.455500173
5040, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,200,150.8333333,76.02141204,0.754166667,0.455500173
5220, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,197.3333333,150,75.19048997,0.760135135,0.455500173
5400, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,30.23997879,0.2652403,200,150.8333333,76.02141204,0.754166667,0.455500173
5580, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,205.3333333,150,75.18325617,0.730519481,0.443500184
5760, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,200,150,75.1880787,0.75,0.443500184
5940, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,202.6666667,150.8333333,75.18759645,0.744243421,0.443500184
6120, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,192,150,75.1953125,0.78125,0.443500184
6300, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,202.6666667,150.8333333,75.18759645,0.744243421,0.443500184
6480, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,200,150,75.1880787,0.75,0.443500184
6660, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,202.6666667,150.8333333,75.18759645,0.744243421,0.443500184
6840, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,208,150,75.18084491,0.721153846,0.443500184
7020, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,200,150,75.1880787,0.75,0.443500184
7200, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,31.67997742,0.244180319,192,150.8333333,76.02864583,0.785590278,0.443500184
7380, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,200,150,75.1880787,0.75,0.323499981
7560, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,200,150.8333333,76.02141204,0.754166667,0.323499981
7740, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,205.3333333,150,75.18325617,0.730519481,0.323499981
7920, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,200,150.8333333,76.02141204,0.754166667,0.323499981
8100, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,197.3333333,150,75.19048997,0.760135135,0.323499981
8280, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,202.6666667,150.8333333,75.18759645,0.744243421,0.323499981
8460, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,208,151.6666667,76.84751157,0.729166667,0.323499981
8640, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,216,151.6666667,76.84027778,0.702160494,0.323499981
8820, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,202.6666667,151.6666667,76.02092978,0.748355263,0.323499981
9000, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,46.08000183,0.033579959,192,150.8333333,75.19748264,0.785590278,0.323499981
9180, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,192,151.6666667,58.88716656,0.789930556,0.311499897
9360, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,200,152.5,52.07802855,0.7625,0.311499897
9540, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,213.3333333,150.8333333,51.19212963,0.70703125,0.311499897
9720, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,213.3333333,150.8333333,50.40626378,0.70703125,0.311499897
9900, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,194.6666667,152.5,67.0425485,0.783390411,0.311499897
10080, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,194.6666667,150.8333333,75.19483025,0.774828767,0.311499897
10260, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,192,150.8333333,76.02864583,0.785590278,0.311499897
10440, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,208,152.5,77.68084491,0.733173077,0.311499897
10620, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,216,151.6666667,76.00887346,0.702160494,0.311499897
10800, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,47.5200119,0.012519812,202.6666667,150.8333333,75.18759645,0.744243421,0.311499897
10980, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,194.6666667,151.6666667,75.19700039,0.779109589,0.191500265
11160, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,194.6666667,151.6666667,76.02816358,0.779109589,0.191500265
11340, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,194.6666667,150.8333333,76.02623457,0.774828767,0.191500265
11520, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,213.3333333,151.6666667,76.84268904,0.7109375,0.191500265
11700, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,213.3333333,151.6666667,76.01128472,0.7109375,0.191500265
11880, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,200,151.6666667,75.19193673,0.758333333,0.191500265
12060, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,192,150.8333333,75.19748264,0.785590278,0.191500265
12240, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,194.6666667,151.6666667,76.02816358,0.779109589,0.191500265
12420, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,200,152.5,77.6880787,0.7625,0.191500265
12600, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,61.91996765,-0.198079544,216,150.8333333,76.00694444,0.698302469,0.191500265
12780, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,63.35995483,-0.219139357,208,150.8333333,75.18277392,0.725160256,0.179500372
12960, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,63.35995483,-0.219139357,197.3333333,152.5,75.19651813,0.772804054,0.179500372
13140, COORD, 1f72d973-3e37-488f-9716-73b69f0fcbba,0.707499996,63.35995483,-0.219139357,194.6666667,150.8333333,75.19483025,0.774828767,0.179500372
