time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,11.66666667,6.555555556,3.047839506,0.561904762
360, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
540, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
720, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15.66666667,10.11111111,5.163580247,0.645390071
900, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
1080, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15.33333333,10.11111111,5.220679012,0.65942029
1260, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
1440, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.05555556,5.222222222,0.67037037
1620, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.05555556,5.222222222,0.67037037
1800, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
1980, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.11111111,5.277777778,0.674074074
2160, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.05555556,5.222222222,0.67037037
2340, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
2520, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.05555556,5.222222222,0.67037037
2700, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
2880, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
3060, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10.05555556,5.222222222,0.67037037
3240, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
3420, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15.33333333,10.05555556,5.165123457,0.655797101
3600, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,1,0.860375,15,10,5.166666667,0.666666667
3780, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10.05555556,5.168518519,0.67037037
3960, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
4140, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
4320, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15.33333333,10.05555556,5.165123457,0.655797101
4500, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
4680, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10.05555556,5.222222222,0.67037037
4860, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
5040, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10.05555556,5.222222222,0.67037037
5220, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
5400, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10.05555556,5.222222222,0.67037037
5580, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
5760, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10,5.166666667,0.666666667
5940, COORD, e5097758-1d8c-4693-bb76-94a9fd4c0343,0.875,2,0.84575,15,10.05555556,5.168518519,0.67037037
