time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,5.833333333,5.166666667,1.762345679,0.885714286
360, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
540, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
720, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.833333333,7.277777778,2.49382716,0.929078014
900, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
1080, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.666666667,7.222222222,2.49691358,0.942028986
1260, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
1440, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.222222222,2.555555556,0.962962963
1620, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
1800, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
1980, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.222222222,2.555555556,0.962962963
2160, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
2340, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
2520, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
2700, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
2880, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
3060, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.222222222,2.555555556,0.962962963
3240, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
3420, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.666666667,7.222222222,2.49691358,0.942028986
3600, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,0.959999979,0.818459996,7.5,7.166666667,2.5,0.955555556
3780, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.222222222,2.503703704,0.962962963
3960, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
4140, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
4320, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.666666667,7.222222222,2.49691358,0.942028986
4500, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
4680, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
4860, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
5040, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
5220, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
5400, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.222222222,2.555555556,0.962962963
5580, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.166666667,2.5,0.955555556
5760, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.222222222,2.555555556,0.962962963
5940, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.555555556,2.837037037,1.007407407
6120, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.611111111,2.944444444,1.014814815
6300, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.666666667,7.833333333,3.108024691,1.02173913
6480, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,7.833333333,3.166666667,1.044444444
6660, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,8.222222222,3.503703704,1.096296296
6840, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,8.277777778,3.611111111,1.103703704
7020, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,8.333333333,3.666666667,1.111111111
7200, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,1.919999957,0.804419996,7.5,8.333333333,3.666666667,1.111111111
7380, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.333333333,3.666666667,1.111111111
7560, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.388888889,3.722222222,1.118518519
7740, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.333333333,3.666666667,1.111111111
7920, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.388888889,3.722222222,1.118518519
8100, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.333333333,3.666666667,1.111111111
8280, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.388888889,3.722222222,1.118518519
8460, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.222222222,3.918518519,1.096296296
8640, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,8.222222222,4.177777778,1.096296296
8820, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.944444444,4.159259259,1.059259259
9000, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.722222222,4.092592593,1.02962963
9180, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.666666667,7.388888889,3.323765432,0.963768116
9360, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.277777778,2.87037037,0.97037037
9540, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.222222222,2.660493827,0.962962963
9720, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.222222222,2.547839506,0.962962963
9900, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.333333333,2.521296296,0.977777778
10080, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.666666667,7.222222222,2.49691358,0.942028986
10260, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.166666667,2.5,0.955555556
10440, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.277777778,2.611111111,0.97037037
10620, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.666666667,7.277777778,2.552469136,0.949275362
10800, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,2.879999876,0.790379997,7.5,7.222222222,2.503703704,0.962962963
10980, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.277777778,2.507407407,0.97037037
11160, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.222222222,2.49691358,0.942028986
11340, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.166666667,2.5,0.955555556
11520, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.277777778,2.611111111,0.97037037
11700, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.277777778,2.552469136,0.949275362
11880, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.277777778,2.507407407,0.97037037
12060, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.222222222,2.503703704,0.962962963
12240, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.222222222,2.49691358,0.942028986
12420, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.277777778,2.611111111,0.97037037
12600, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.222222222,2.555555556,0.962962963
12780, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.222222222,2.49691358,0.942028986
12960, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.333333333,2.511111111,0.977777778
13140, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.222222222,2.49691358,0.942028986
13320, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.166666667,2.5,0.955555556
13500, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.222222222,2.555555556,0.962962963
13680, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.666666667,7.277777778,2.552469136,0.949275362
13860, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.222222222,2.503703704,0.962962963
14040, COORD, e5f16fbe-b058-4bcb-a73e-9452e5d8f3e5,0.832499996,3.839999914,0.776339996,7.5,7.277777778,2.507407407,0.97037037
