time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 54.666666666666664, 32.77777777777778, 14.832451499118166, 
360.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 72.0, 50.0, 25.173611111111114, 
540.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.0, 25.165343915343918, 
720.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 80.0, 50.55555555555556, 25.1603835978836, 
900.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 72.0, 50.0, 25.173611111111114, 
1080.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 77.33333333333333, 50.55555555555556, 25.442019400352738, 
1260.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 72.0, 50.0, 25.173611111111114, 
1440.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 72.0, 50.27777777777778, 25.451388888888893, 
1620.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.27777777777778, 25.44312169312169, 
1800.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 72.0, 50.0, 25.173611111111114, 
1980.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 80.0, 50.55555555555556, 25.712632275132275, 
2160.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.27777777777778, 25.443121693121693, 
2340.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.0, 25.16534391534391, 
2520.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.27777777777778, 25.44312169312169, 
2700.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 80.0, 50.0, 25.15707671957672, 
2880.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 78.66666666666667, 50.0, 25.159832451499117, 
3060.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.27777777777778, 25.44312169312169, 
3240.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 76.0, 50.0, 25.16534391534391, 
3420.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 81.33333333333333, 50.27777777777778, 25.15597442680776, 
3600.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 9.5, 0.7360624980181456, 78.66666666666667, 50.0, 25.159832451499117, 
3780.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 77.33333333333333, 50.27777777777778, 25.164241622574952, 
3960.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.0, 25.16534391534391, 
4140.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.0, 25.165343915343918, 
4320.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 80.0, 50.27777777777778, 25.158730158730158, 
4500.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 78.66666666666667, 50.0, 25.159832451499113, 
4680.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.27777777777778, 25.44312169312169, 
4860.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.0, 25.165343915343918, 
5040.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 80.0, 50.27777777777778, 25.434854497354497, 
5220.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 74.66666666666667, 50.0, 25.168099647266317, 
5400.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.27777777777778, 25.44312169312169, 
5580.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 77.33333333333333, 50.0, 25.16258818342152, 
5760.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 80.0, 50.0, 25.15707671957672, 
5940.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.27777777777778, 25.166997354497354, 
6120.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.0, 25.16534391534391, 
6300.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 74.66666666666667, 50.27777777777778, 25.169753086419757, 
6480.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 80.0, 50.0, 25.15707671957672, 
6660.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 77.33333333333333, 50.27777777777778, 25.164241622574956, 
6840.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 76.0, 50.0, 25.16534391534391, 
7020.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 74.66666666666667, 50.0, 25.168099647266317, 
7200.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 19.0, 0.5971249960362911, 80.0, 50.27777777777778, 25.434854497354497, 
7380.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 77.33333333333333, 50.0, 25.162588183421516, 
7560.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 76.0, 50.27777777777778, 25.44312169312169, 
7740.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 74.66666666666667, 50.0, 25.168099647266317, 
7920.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 76.0, 50.27777777777778, 25.443121693121697, 
8100.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 77.33333333333333, 50.0, 25.162588183421516, 
8280.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 77.33333333333333, 50.27777777777778, 25.164241622574952, 
8460.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 80.0, 50.55555555555556, 25.712632275132272, 
8640.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 76.0, 50.55555555555556, 25.720899470899475, 
8820.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 72.0, 50.55555555555556, 25.45331790123457, 
9000.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 72.0, 50.27777777777778, 25.17554012345679, 
9180.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 72.0, 50.55555555555556, 19.86232363315697, 
9360.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 73.33333333333333, 50.833333333333336, 17.633487654320987, 
9540.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 70.66666666666667, 50.27777777777778, 17.310956790123456, 
9720.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 74.66666666666667, 50.27777777777778, 17.08925815696649, 
9900.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 81.33333333333333, 50.833333333333336, 19.840994268077605, 
10080.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 73.33333333333333, 50.27777777777778, 25.172508818342155, 
10260.0, COORD, 29b1bc36-3fde-412e-b458-d1386021d96c, 0.875, 28.5, 0.45818749405443665, 72.0, 50.27777777777778, 25.451388888888893, 
