time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,1,0.860375,20.33333333,6.555555556,0.198148148,0.322404372
360, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,1,0.860375,30,10,0.333333333,0.333333333
540, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,1,0.860375,30,10,0.333333333,0.333333333
720, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,1,0.860375,30,10.11111111,0.337037037,0.337037037
900, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,1,0.860375,30,10,0.333333333,0.333333333
1080, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.33333333,16.33333333,0.537654321,0.538461538
1260, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
1440, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.33333333,20.11111111,0.663580247,0.663003663
1620, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.33333333,20.11111111,0.663580247,0.663003663
1800, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
1980, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.66666667,20.22222222,0.660493827,0.65942029
2160, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.33333333,20.11111111,0.663580247,0.663003663
2340, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
2520, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20.11111111,0.67037037,0.67037037
2700, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
2880, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
3060, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30.33333333,20.11111111,0.663580247,0.663003663
3240, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
3420, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20.11111111,0.67037037,0.67037037
3600, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,2.440000057,0.839314999,30,20,0.666666667,0.666666667
3780, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,3.440000057,0.824689998,30.33333333,20.11111111,0.663580247,0.663003663
3960, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,3.440000057,0.824689998,30,20,0.666666667,0.666666667
4140, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,3.440000057,0.824689998,30,20,0.666666667,0.666666667
4320, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,3.440000057,0.824689998,30,20.11111111,0.67037037,0.67037037
4500, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,3.440000057,0.824689998,30,20,0.666666667,0.666666667
4680, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20.11111111,0.67037037,0.67037037
4860, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
5040, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30.33333333,20.11111111,0.663580247,0.663003663
5220, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
5400, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20.11111111,0.67037037,0.67037037
5580, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
5760, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
5940, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30.33333333,20.11111111,0.663580247,0.663003663
6120, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
6300, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20.11111111,0.67037037,0.67037037
6480, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
6660, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30.33333333,20.11111111,0.663580247,0.663003663
6840, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
7020, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30,20,0.666666667,0.666666667
7200, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,4.880000114,0.803629997,30.33333333,20.11111111,0.663580247,0.663003663
7380, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,5.880000114,0.789004997,30,20,0.666666667,0.666666667
7560, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,5.880000114,0.789004997,30,20.11111111,0.67037037,0.67037037
7740, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,5.880000114,0.789004997,30,20,0.666666667,0.666666667
7920, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,5.880000114,0.789004997,30.33333333,20.11111111,0.663580247,0.663003663
8100, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,5.880000114,0.789004997,30,20,0.666666667,0.666666667
8280, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30,20.11111111,0.67037037,0.67037037
8460, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30,20.22222222,0.674074074,0.674074074
8640, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.22222222,0.667283951,0.666666667
8820, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.22222222,0.667283951,0.666666667
9000, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,29.33333333,20.11111111,0.688888889,0.685606061
9180, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,29.66666667,20.22222222,0.683333333,0.68164794
9360, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30,20.33333333,0.680246914,0.677777778
9540, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,29.66666667,20.11111111,0.67962963,0.677902622
9720, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30,20.11111111,0.672839506,0.67037037
9900, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.33333333,0.670987654,0.67032967
10080, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.11111111,0.663580247,0.663003663
10260, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.11111111,0.663580247,0.663003663
10440, COORD, 5dab6161-992e-45d6-9e3b-6a43c818d20b,0.875,7.319999218,0.76794501,30.33333333,20.33333333,0.670987654,0.67032967
