time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,39.5,26.22222222,0.406525573,0.663853727
360, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
540, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
720, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,58,40.44444444,0.700764256,0.697318008
900, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
1080, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,58.5,40.44444444,0.694885362,0.691358025
1260, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
1440, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60.5,40.22222222,0.667842446,0.664830119
1620, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40.22222222,0.67372134,0.67037037
1800, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
1980, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,58.5,40.44444444,0.694885362,0.691358025
2160, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60.5,40.22222222,0.667842446,0.664830119
2340, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40,0.670194004,0.666666667
2520, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,63,40.22222222,0.638447972,0.638447972
2700, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,61,40,0.658436214,0.655737705
2880, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,58,40,0.693709583,0.689655172
3060, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,60,40.22222222,0.674750147,0.67037037
3240, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,58,40,0.693709583,0.689655172
3420, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,62,40.22222222,0.650205761,0.64874552
3600, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,5.999998093,0.744750022,62,40,0.646678424,0.64516129
3780, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,60,40.22222222,0.67372134,0.67037037
3960, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,59.5,40,0.676072898,0.672268908
4140, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,57.5,40,0.699588477,0.695652174
4320, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,60.5,40.22222222,0.668871252,0.664830119
4500, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,63,40,0.634920635,0.634920635
4680, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,63.5,40.22222222,0.633597884,0.633420822
4860, COORD, 953d000d-0469-4021-bb5d-43df0686521d,0.832499996,11.99999619,0.657000049,57.5,40,0.699588477,0.695652174
