time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,9.5,0.736062498,98.66666667,32.77777778,0.203373016,0.332207207,0.795833333
360, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,9.5,0.736062498,150.6666667,50,0.333443563,0.331858407,0.795833333
540, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,9.5,0.736062498,149.3333333,50,0.336199295,0.334821429,0.795833333
720, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,9.5,0.736062498,153.3333333,50.55555556,0.331238977,0.329710145,0.795833333
900, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.344036697,0.795833333
1080, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,158.6666667,87.88888889,0.542438272,0.553921569,0.783833345
1260, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,152,110,0.727513228,0.723684211,0.783833345
1440, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,145.3333333,110.6111111,0.762070106,0.761085627,0.783833345
1620, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,150.6666667,110.6111111,0.737819665,0.734144543,0.783833345
1800, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,145.3333333,110,0.757826279,0.756880734,0.783833345
1980, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,146.6666667,111.2222222,0.759038801,0.758333333,0.783833345
2160, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,144,110.6111111,0.768132716,0.768132716,0.783833345
2340, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,152,110,0.727513228,0.723684211,0.783833345
2520, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,150.6666667,110.6111111,0.737213404,0.734144543,0.783833345
2700, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,148,110,0.745701058,0.743243243,0.783833345
2880, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,145.3333333,110,0.757826279,0.756880734,0.783833345
3060, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,152,110.6111111,0.731150794,0.727704678,0.783833345
3240, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,149.3333333,110,0.739638448,0.736607143,0.783833345
3420, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,148,110.6111111,0.749338624,0.747372372,0.783833345
3600, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,10.93999863,0.715002518,145.3333333,110,0.757826279,0.756880734,0.783833345
3780, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,20.43999863,0.576065016,150.6666667,110.6111111,0.737213404,0.734144543,0.704666678
3960, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,20.43999863,0.576065016,149.3333333,110,0.739638448,0.736607143,0.704666678
4140, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,20.43999863,0.576065016,146.6666667,110,0.751763668,0.75,0.704666678
4320, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,20.43999863,0.576065016,152,110.6111111,0.731150794,0.727704678,0.704666678
4500, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,20.43999863,0.576065016,149.3333333,110,0.739638448,0.736607143,0.704666678
4680, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,149.3333333,110.6111111,0.743882275,0.740699405,0.69266669
4860, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,146.6666667,110,0.751763668,0.75,0.69266669
5040, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,150.6666667,110.6111111,0.737213404,0.734144543,0.69266669
5220, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,149.3333333,110,0.739638448,0.736607143,0.69266669
5400, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,156,110.6111111,0.712962963,0.709045584,0.69266669
5580, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,146.6666667,110,0.751763668,0.75,0.69266669
5760, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,149.3333333,110,0.739638448,0.736607143,0.69266669
5940, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,148,110.6111111,0.749338624,0.747372372,0.69266669
6120, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,154.6666667,110,0.715388007,0.711206897,0.69266669
6300, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,153.3333333,110.6111111,0.725088183,0.721376812,0.69266669
6480, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,150.6666667,110,0.733575838,0.730088496,0.69266669
6660, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,148,110.6111111,0.749338624,0.747372372,0.69266669
6840, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,154.6666667,110,0.715388007,0.711206897,0.69266669
7020, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,152,110,0.727513228,0.723684211,0.69266669
7200, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,150.6666667,110.6111111,0.737213404,0.734144543,0.69266669
7380, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,146.6666667,110,0.751763668,0.75,0.613500023
7560, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,154.6666667,110.6111111,0.719025573,0.715158046,0.613500023
7740, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,150.6666667,110,0.733575838,0.730088496,0.613500023
7920, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,149.3333333,110.6111111,0.743276014,0.740699405,0.613500023
8100, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,154.6666667,110,0.715388007,0.711206897,0.613500023
8280, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,110.6111111,0.731150794,0.727704678,0.601500003
8460, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,150.6666667,111.2222222,0.742063492,0.73820059,0.601500003
8640, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,150.6666667,111.2222222,0.74085097,0.73820059,0.601500003
8820, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,111.2222222,0.73478836,0.731725146,0.601500003
