time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,14.39999008,0.621900138,96,52.44444444,0.334019204,0.546296296,0.712500078
360, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,14.39999008,0.621900138,144,80,0.555555556,0.555555556,0.712500078
540, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,14.39999008,0.621900138,156,80,0.514403292,0.512820513,0.712500078
720, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,14.39999008,0.621900138,146,80.88888889,0.554183813,0.554033486,0.712500078
900, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,14.39999008,0.621900138,155,80,0.517832647,0.516129032,0.712500078
1080, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,148.8333333,99.55555556,0.666862452,0.668906308,0.546500094
1260, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,144.8333333,110,0.768518519,0.759493671,0.546500094
1440, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,149,110.6111111,0.747951625,0.74235645,0.546500094
1620, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,148.1666667,110.6111111,0.746553288,0.746531684,0.546500094
1800, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,151.3333333,110,0.731103553,0.726872247,0.546500094
1980, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,150.1666667,111.2222222,0.746938776,0.740658528,0.546500094
2160, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,148.3333333,110.6111111,0.74739229,0.745692884,0.546500094
2340, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,150.8333333,110,0.734164777,0.729281768,0.546500094
2520, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,147.5,110.6111111,0.755177627,0.749905838,0.546500094
2700, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,155.1666667,110,0.712207105,0.708915145,0.546500094
2880, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,152.1666667,110,0.725925926,0.722891566,0.546500094
3060, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,147.1666667,110.6111111,0.756840514,0.751604379,0.546500094
3240, COORD, 0c1dd964-32c0-4c1e-9f61-138f770654ef,0.832499996,34.31998825,0.330570161,149.5,110,0.74138322,0.735785953,0.546500094
