time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 4.666666666666667, 3.8333333333333335, 0.5154320987654322, 
360.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.666666666666667, 0.9444444444444444, 
540.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.444444444444445, 0.9074074074074076, 
720.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.666666666666667, 0.9444444444444444, 
900.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.444444444444445, 0.9074074074074076, 
1080.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.166666666666667, 5.5, 0.8981481481481483, 
1260.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.0, 0.8333333333333335, 
1440.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.166666666666667, 5.055555555555555, 0.8240740740740742, 
1620.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.166666666666667, 5.388888888888889, 0.8796296296296299, 
1800.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.277777777777778, 0.8796296296296298, 
1980.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.444444444444445, 0.9074074074074076, 
2160.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.166666666666667, 5.055555555555555, 0.8271604938271607, 
2340.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.111111111111111, 0.8518518518518521, 
2520.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 4.777777777777778, 0.7962962962962963, 
2700.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.222222222222222, 0.8703703703703705, 
2880.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.0, 0.8333333333333335, 
3060.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.277777777777778, 0.8796296296296298, 
3240.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.333333333333333, 0.8888888888888891, 
3420.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.111111111111111, 0.8518518518518521, 
3600.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 0.5, 0.8676874998956918, 6.0, 5.166666666666667, 0.8611111111111112, 
3780.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 1.0, 0.8603749997913838, 6.0, 5.166666666666667, 0.8611111111111113, 
3960.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 1.0, 0.8603749997913838, 6.0, 5.0, 0.8333333333333335, 
4140.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 1.0, 0.8603749997913838, 6.0, 5.0, 0.8333333333333335, 
4320.0, COORD, 2f4afffb-511a-4ae5-b4d3-35512b0a9056, 0.875, 1.0, 0.8603749997913838, 6.166666666666667, 5.166666666666667, 0.8456790123456792, 
