time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,39.5,11.88888889,0.18452381,0.300984529
360, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,17.66666667,0.296296296,0.294444444
540, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,16.83333333,0.282039976,0.280555556
720, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,58,17.16666667,0.297325103,0.295977011
900, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,17,0.284832451,0.283333333
1080, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,58.5,16.16666667,0.278071723,0.276353276
1260, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,16.72222222,0.280129336,0.278703704
1440, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60.5,16.22222222,0.26925338,0.268135904
1620, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,12.83333333,0.216931217,0.213888889
1800, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,11.33333333,0.189888301,0.188888889
1980, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,58.5,14.5,0.249559083,0.247863248
2160, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60.5,13.16666667,0.218547913,0.217630854
2340, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,12.16666667,0.204291593,0.202777778
2520, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,63,11.22222222,0.178130511,0.178130511
2700, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,61,9.611111111,0.158436214,0.157559199
2880, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,58,9.388888889,0.16255144,0.161877395
3060, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,60,10.55555556,0.178020282,0.175925926
3240, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,58,11.16666667,0.193121693,0.192528736
3420, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,62,8.666666667,0.139917695,0.139784946
3600, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,1.5,0.8530625,62,8.611111111,0.139623751,0.138888889
3780, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,60,7.888888889,0.13154027,0.131481481
3960, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,59.5,8.222222222,0.138447972,0.138188609
4140, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,57.5,9,0.157260435,0.156521739
4320, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,60.5,9.388888889,0.15648883,0.155188246
4500, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,63,8.277777778,0.131393298,0.131393298
4680, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,63.5,5.222222222,0.082120811,0.08223972
4860, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,57.5,5,0.087595532,0.086956522
5040, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,60.5,5.611111111,0.093180482,0.092745638
5220, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,61,6.611111111,0.108612581,0.108378871
5400, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,62,7.444444444,0.120811287,0.120071685
5580, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,60.5,5.611111111,0.093474427,0.092745638
5760, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,57.5,5.333333333,0.092886537,0.092753623
5940, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,60,4.833333333,0.081569665,0.080555556
6120, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,59,6.611111111,0.113021752,0.112052731
6300, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,62.5,5.833333333,0.093327454,0.093333333
6480, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,62,6.777777778,0.109935332,0.109318996
6660, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,59,8.333333333,0.141387419,0.141242938
6840, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,59.5,10.33333333,0.174750147,0.173669468
7020, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,57.5,9.611111111,0.167989418,0.167149758
7200, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,3,0.831124999,61,10.77777778,0.17739565,0.176684882
7380, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,62,11.55555556,0.186801881,0.186379928
7560, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,61.5,14.11111111,0.229570841,0.229448961
7740, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,60,11.27777778,0.188859494,0.187962963
7920, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,58,9.055555556,0.156158142,0.156130268
8100, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,59.5,7.944444444,0.135067607,0.133520075
8280, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,62.5,7.722222222,0.124228395,0.123555556
8460, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,59.5,8,0.134920635,0.134453782
8640, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,61.5,8.555555556,0.139476778,0.139114724
8820, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,60.5,6.888888889,0.11489565,0.113865932
9000, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,59,7.555555556,0.12904174,0.128060264
9180, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,60,8.888888889,0.148772781,0.148148148
9360, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,58.5,10.05555556,0.172545561,0.171889839
9540, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,60.5,7.888888889,0.13106261,0.130394858
9720, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,57.5,7.777777778,0.136096414,0.1352657
9900, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,57,8.888888889,0.156672546,0.155945419
10080, COORD, 335bef9c-b580-4914-9590-ed2600681cba,0.875,4.5,0.809187499,58.5,8.777777778,0.150940623,0.150047483
