time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,39.33333333,13.11111111,0.203703704,0.333333333
360, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
540, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
720, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.66666667,20.22222222,0.333333333,0.333333333
900, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
1080, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.66666667,20.22222222,0.333333333,0.333333333
1260, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
1440, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.33333333,20.11111111,0.333333333,0.333333333
1620, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.33333333,20.11111111,0.333333333,0.333333333
1800, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
1980, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.66666667,20.22222222,0.333333333,0.333333333
2160, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.33333333,20.11111111,0.333333333,0.333333333
2340, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
2520, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.33333333,20.11111111,0.333333333,0.333333333
2700, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
2880, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60,20,0.333333333,0.333333333
3060, COORD, 0a30e36d-543e-49be-9d3e-8a9f4d7b5179,0.832499996,4,0.773999995,60.33333333,20.11111111,0.333333333,0.333333333
