time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,98.66666667,32.77777778,0.203373016,0.332207207,0.795833333
360, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,150.6666667,50,0.333443563,0.331858407,0.795833333
540, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,149.3333333,50,0.336199295,0.334821429,0.795833333
720, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,153.3333333,50.55555556,0.331238977,0.329710145,0.795833333
900, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.344036697,0.795833333
1080, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,158.6666667,50.55555556,0.320216049,0.318627451,0.795833333
1260, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,152,50,0.330687831,0.328947368,0.795833333
1440, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,145.3333333,50.27777778,0.346395503,0.345948012,0.795833333
1620, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,150.6666667,50.27777778,0.335372575,0.333702065,0.795833333
1800, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.344036697,0.795833333
1980, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,146.6666667,50.55555556,0.345017637,0.34469697,0.795833333
2160, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,144,50.27777778,0.349151235,0.349151235,0.795833333
2340, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,152,50,0.330687831,0.328947368,0.795833333
2520, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,150.6666667,50.27777778,0.335097002,0.333702065,0.795833333
2700, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,148,50,0.338955026,0.337837838,0.795833333
2880, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.344036697,0.795833333
3060, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,152,50.27777778,0.33234127,0.330774854,0.795833333
3240, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,149.3333333,50,0.336199295,0.334821429,0.795833333
3420, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,148,50.27777778,0.340608466,0.339714715,0.795833333
3600, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,9.5,0.736062498,145.3333333,50,0.34446649,0.344036697,0.795833333
3780, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,19,0.597124996,150.6666667,50.27777778,0.335097002,0.333702065,0.716666667
3960, COORD, 5a5c9778-0c78-4e54-a194-135eee839609,0.875,19,0.597124996,149.3333333,50,0.336199295,0.334821429,0.716666667
