time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,2.833333333,2.166666667,0.259259259,0.764705882
360, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.777777778,0.648148148,0.925925926
540, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.722222222,0.592592593,0.907407407
720, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.944444444,0.768518519,0.981481481
900, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,3,0.916666667,1
1080, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.888888889,0.898148148,0.962962963
1260, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.222222222,0.601851852,0.740740741
1440, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.388888889,0.722222222,0.796296296
1620, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.555555556,1.166666667,0.851851852
1800, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.222222222,0.833333333,0.740740741
1980, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.5,0.925925926,0.833333333
2160, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,3.055555556,1.62037037,1.018518519
2340, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.944444444,1.601851852,0.981481481
2520, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.875,0.5,0.8676875,3,2.722222222,0.962962963,0.907407407
2700, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,4.5,2.3,0.9
2880, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,4.777777778,2.577777778,0.955555556
3060, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,4.722222222,2.622222222,0.944444444
3240, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,4.5,2.5,0.9
3420, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,3.666666667,2.016666667,0.733333333
3600, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,0.5,0.792687497,5,2.611111111,1.361111111,0.522222222
3780, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.799999997,1,0.785374997,5,6.888888889,3.638888889,1.377777778
3960, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10.66666667,4.416666667,1.333333333
4140, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,9.777777778,3.840277778,1.222222222
4320, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,9.555555556,4.295138889,1.194444444
4500, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,9.833333333,4.885416667,1.229166667
4680, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,4.722222222,2.378472222,0.590277778
4860, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,8.055555556,4.149305556,1.006944444
5040, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,5.277777778,2.934027778,0.659722222
5220, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,5,2.65625,0.625
5400, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,9.777777778,5.090277778,1.222222222
5580, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
5760, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
5940, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10.05555556,5.315972222,1.256944444
6120, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
6300, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10.05555556,5.315972222,1.256944444
6480, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
6660, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10.05555556,5.315972222,1.256944444
6840, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
7020, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10,5.3125,1.25
7200, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1,0.735375,8,10.05555556,5.368055556,1.256944444
7380, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,1.5,0.7280625,8,8.388888889,3.701388889,1.048611111
7560, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,3.420000076,0.699982498,8,7.944444444,3.256944444,0.993055556
7740, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,3.420000076,0.699982498,8,7.944444444,3.256944444,0.993055556
7920, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,3.420000076,0.699982498,8,7.444444444,2.913194444,0.930555556
8100, COORD, b97c7722-8d86-4147-a554-0be0e12b72d4,0.75,3.420000076,0.699982498,8,7.111111111,2.840277778,0.888888889
