time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,2.833333333,2,0.240740741,0.705882353
360, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.833333333,0.611111111,0.944444444
540, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.944444444,0.722222222,0.981481481
720, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.777777778,0.601851852,0.925925926
900, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.888888889,0.574074074,0.962962963
1080, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.888888889,0.481481481,0.962962963
1260, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,1,0.817874996,3,2.833333333,0.472222222,0.944444444
1440, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,3.166666667,1.604166667,0.395833333
1620, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,3.333333333,1.770833333,0.416666667
1800, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,3.333333333,1.770833333,0.416666667
1980, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,6.5,3.375,0.8125
2160, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,6,3.291666667,0.75
2340, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,5.444444444,2.944444444,0.680555556
2520, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,4.777777778,2.590277778,0.597222222
2700, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,4.888888889,2.701388889,0.611111111
2880, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,5.333333333,2.833333333,0.666666667
3060, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,4.333333333,2.354166667,0.541666667
3240, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,6.111111111,3.194444444,0.763888889
3420, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,6.666666667,3.541666667,0.833333333
3600, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,1,0.860375,8,6.555555556,3.430555556,0.819444444
3780, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.666666667,3.4375,0.833333333
3960, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.888888889,3.763888889,0.861111111
4140, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.666666667,3.4375,0.833333333
4320, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,4.333333333,2.354166667,0.541666667
4500, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,5.555555556,3.055555556,0.694444444
4680, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,4.777777778,2.590277778,0.597222222
4860, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,5,2.708333333,0.625
5040, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,5.333333333,2.833333333,0.666666667
5220, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,5.555555556,2.951388889,0.694444444
5400, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.555555556,3.430555556,0.819444444
5580, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.333333333,3.416666667,0.791666667
5760, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.555555556,3.430555556,0.819444444
5940, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.888888889,3.659722222,0.861111111
6120, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.222222222,3.513888889,0.777777778
6300, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6,3.1875,0.75
6480, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,4.111111111,2.236111111,0.513888889
6660, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.111111111,3.298611111,0.763888889
6840, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.555555556,3.430555556,0.819444444
7020, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.666666667,3.645833333,0.833333333
7200, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,2,0.84575,8,6.555555556,3.430555556,0.819444444
7380, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.666666667,3.645833333,0.833333333
7560, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.777777778,3.652777778,0.847222222
7740, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.777777778,3.548611111,0.847222222
7920, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.777777778,3.652777778,0.847222222
8100, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.555555556,3.430555556,0.819444444
8280, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.222222222,3.513888889,0.777777778
8460, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,5.888888889,2.972222222,0.736111111
8640, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.777777778,3.652777778,0.847222222
8820, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.666666667,3.4375,0.833333333
9000, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.666666667,3.645833333,0.833333333
9180, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,7.555555556,6.777777778,3.305555556,0.897058824
9360, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.111111111,3.125,0.763888889
9540, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,5.111111111,1.993055556,0.638888889
9720, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8.444444444,5.222222222,2.354166667,0.618421053
9900, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,6.777777778,3.548611111,0.847222222
10080, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8.444444444,6.333333333,3.305555556,0.75
10260, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,4.888888889,2.701388889,0.611111111
10440, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,5,2.708333333,0.625
10620, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8,5.222222222,2.722222222,0.652777778
10800, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,3,0.831124999,8.444444444,5,2.597222222,0.592105263
10980, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8.444444444,4.888888889,2.592592593,0.578947368
11160, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,5,2.708333333,0.625
11340, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,5.111111111,2.715277778,0.638888889
11520, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,4,2.125,0.5
11700, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8.444444444,3.777777778,2.002314815,0.447368421
11880, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,7.277777778,3.527777778,0.909722222
12060, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,7.5,3.958333333,0.9375
12240, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,7.777777778,4.236111111,0.972222222
12420, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,6.166666667,3.302083333,0.770833333
12600, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,5.166666667,2.71875,0.645833333
12780, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,3.944444444,2.069444444,0.493055556
12960, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,3.722222222,2.055555556,0.465277778
13140, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,1.666666667,1.09375,0.208333333
13320, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,1.777777778,0.684027778,0.222222222
13500, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,4,0.816499999,8,2.888888889,1.586805556,0.361111111
13680, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,10,0.728749998,8,5.555555556,2.743055556,0.694444444
13860, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,10,0.728749998,8,7.555555556,3.857638889,0.944444444
14040, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,10,0.728749998,8,6.166666667,3.40625,0.770833333
14220, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,10,0.728749998,8,5.333333333,2.677083333,0.666666667
14400, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,10,0.728749998,8,5.444444444,2.631944444,0.680555556
14580, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,5.388888889,3.045138889,0.673611111
14760, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,5.777777778,2.965277778,0.722222222
14940, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,5.666666667,3.166666667,0.708333333
15120, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,6.833333333,3.65625,0.854166667
15300, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8.444444444,6.333333333,3.513888889,0.75
15480, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,6.222222222,3.409722222,0.777777778
15660, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,6.611111111,3.590277778,0.826388889
15840, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,4.333333333,2.041666667,0.541666667
16020, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8.888888889,3.611111111,1.780092593,0.40625
16200, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,8,4.111111111,2.496527778,0.513888889
16380, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.875,11,0.714124998,9.333333333,5,2.108796296,0.535714286
16560, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,11,0.671624994,4.5,28.88888889,12.40740741,6.419753086
16740, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,11,0.671624994,4.5,30.44444444,13.90740741,6.765432099
16920, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,11,0.671624994,4.5,35.83333333,15.61728395,7.962962963
17100, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,11,0.671624994,4.5,50.55555556,22.74691358,11.2345679
17280, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,17,0.583874992,4.5,31.66666667,14.79938272,7.037037037
17460, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,17,0.583874992,4.5,6.277777778,2.148148148,1.395061728
17640, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,17,0.583874992,4.5,3.666666667,0.858024691,0.814814815
17820, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,17,0.583874992,4.333333333,3.833333333,0.944444444,0.884615385
18000, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,17,0.583874992,2.833333333,3.611111111,1.277777778,1.274509804
18180, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,0.333333333,3.666666667,3.388888889,11
18360, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,0,3.555555556,3.555555556,#DIV/0!
18540, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,0.5,3.666666667,3.296296296,7.333333333
18720, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,2.5,3.666666667,1.839506173,1.466666667
18900, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,3.5,0.953703704,0.777777778
19080, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.666666667,3.722222222,0.728395062,0.797619048
19260, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,3.388888889,0.728395062,0.75308642
19440, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,2.611111111,0.595679012,0.580246914
19620, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,2.166666667,0.37345679,0.481481481
19800, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,2.666666667,0.5,0.592592593
19980, COORD, 2f665075-3322-4c05-b243-81f4b861759e,0.832499996,18,0.569249992,4.5,2.666666667,0.5,0.592592593
