time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,54.66666667,32.77777778,14.8324515,0.599593496,0.280506942
360, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.136062498
540, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.102729165
720, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,80,50.55555556,25.1603836,0.631944444,0.069395831
900, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.136062498
1080, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,77.33333333,50.55555556,25.4420194,0.653735632,0.091618054
1260, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.136062498
1440, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,72,50.27777778,25.45138889,0.698302469,0.136062498
1620, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.102729165
1800, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,72,50,25.17361111,0.694444444,0.136062498
1980, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,80,50.55555556,25.71263228,0.631944444,0.069395831
2160, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.102729165
2340, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.102729165
2520, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.102729165
2700, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,80,50,25.15707672,0.625,0.069395831
2880, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,78.66666667,50,25.15983245,0.63559322,0.080506942
3060, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50.27777778,25.44312169,0.661549708,0.102729165
3240, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,76,50,25.16534392,0.657894737,0.102729165
3420, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,81.33333333,50.27777778,25.15597443,0.618169399,0.05828472
3600, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,9.5,0.736062498,78.66666667,50,25.15983245,0.63559322,0.080506942
3780, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,77.33333333,50.27777778,25.16424162,0.650143678,-0.047319448
3960, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50,25.16534392,0.657894737,-0.036208337
4140, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50,25.16534392,0.657894737,-0.036208337
4320, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,80,50.27777778,25.15873016,0.628472222,-0.069541671
4500, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,78.66666667,50,25.15983245,0.63559322,-0.05843056
4680, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50.27777778,25.44312169,0.661549708,-0.036208337
4860, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50,25.16534392,0.657894737,-0.036208337
5040, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,80,50.27777778,25.4348545,0.628472222,-0.069541671
5220, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,74.66666667,50,25.16809965,0.669642857,-0.025097226
5400, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50.27777778,25.44312169,0.661549708,-0.036208337
5580, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,77.33333333,50,25.16258818,0.646551724,-0.047319448
5760, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,80,50,25.15707672,0.625,-0.069541671
5940, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50.27777778,25.16699735,0.661549708,-0.036208337
6120, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50,25.16534392,0.657894737,-0.036208337
6300, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,74.66666667,50.27777778,25.16975309,0.673363095,-0.025097226
6480, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,80,50,25.15707672,0.625,-0.069541671
6660, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,77.33333333,50.27777778,25.16424162,0.650143678,-0.047319448
6840, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,76,50,25.16534392,0.657894737,-0.036208337
7020, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,74.66666667,50,25.16809965,0.669642857,-0.025097226
7200, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,19,0.597124996,80,50.27777778,25.4348545,0.628472222,-0.069541671
7380, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,77.33333333,50,25.16258818,0.646551724,-0.18625695
7560, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,76,50.27777778,25.44312169,0.661549708,-0.175145839
7740, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,74.66666667,50,25.16809965,0.669642857,-0.164034728
7920, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,76,50.27777778,25.44312169,0.661549708,-0.175145839
8100, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,77.33333333,50,25.16258818,0.646551724,-0.18625695
8280, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,77.33333333,50.27777778,25.16424162,0.650143678,-0.18625695
8460, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,80,50.55555556,25.71263228,0.631944444,-0.208479173
8640, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,76,50.55555556,25.72089947,0.665204678,-0.175145839
8820, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,72,50.55555556,25.4533179,0.702160494,-0.141812506
9000, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,72,50.27777778,25.17554012,0.698302469,-0.141812506
9180, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,72,50.55555556,19.86232363,0.702160494,-0.141812506
9360, COORD, cabd2bbc-3357-4870-b3ac-ce723db2411c,0.875,28.5,0.458187494,73.33333333,50.83333333,17.63348765,0.693181818,-0.152923617
