time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
180, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,54.66666667,32.77777778,14.8324515,0.599593496,0.245319438
360, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
540, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74,50,25.16915954,0.675675676,0.084208327
720, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,77.33333333,50.55555556,25.1654711,0.653735632,0.05643055
900, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
1080, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,73.33333333,50.55555556,25.4502866,0.689393939,0.089763883
1260, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
1440, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50.27777778,25.44248575,0.661549708,0.067541661
1620, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74,50.27777778,25.44693732,0.679429429,0.084208327
1800, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
1980, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74,50.55555556,25.7247151,0.683183183,0.084208327
2160, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50.27777778,25.44248575,0.661549708,0.067541661
2340, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
2520, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50.27777778,25.44248575,0.661549708,0.067541661
2700, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74,50,25.16915954,0.675675676,0.084208327
2880, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,75.33333333,50,25.16619183,0.663716814,0.073097216
3060, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74.66666667,50.27777778,25.44545347,0.673363095,0.078652772
3240, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,76,50,25.16470798,0.657894737,0.067541661
3420, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,75.33333333,50.27777778,25.16805725,0.66740413,0.073097216
3600, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,9,0.700874994,74,50,25.16915954,0.675675676,0.084208327
3780, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74.66666667,50.27777778,25.16945632,0.673363095,-0.05297223
3960, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50,25.16915954,0.675675676,-0.047416675
4140, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50,25.16470798,0.657894737,-0.064083341
4320, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,75.33333333,50.27777778,25.16805725,0.66740413,-0.058527786
4500, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74.66666667,50,25.16767569,0.669642857,-0.05297223
4680, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50.27777778,25.44693732,0.679429429,-0.047416675
4860, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,75.33333333,50,25.16619183,0.663716814,-0.058527786
5040, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50.27777778,25.44248575,0.661549708,-0.064083341
5220, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50,25.16470798,0.657894737,-0.064083341
5400, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50.27777778,25.44248575,0.661549708,-0.064083341
5580, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50,25.16915954,0.675675676,-0.047416675
5760, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50,25.16470798,0.657894737,-0.064083341
5940, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50.27777778,25.1665734,0.661549708,-0.064083341
6120, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50,25.16470798,0.657894737,-0.064083341
6300, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50.27777778,25.1665734,0.661549708,-0.064083341
6480, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50,25.16915954,0.675675676,-0.047416675
6660, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,75.33333333,50.27777778,25.16797246,0.66740413,-0.058527786
6840, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50,25.16915954,0.675675676,-0.047416675
7020, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,76,50,25.16470798,0.657894737,-0.064083341
7200, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,18,0.569249992,74,50.27777778,25.44693732,0.679429429,-0.047416675
7380, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,74,50,25.16915954,0.675675676,-0.179041676
7560, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,74,50.27777778,25.44693732,0.679429429,-0.179041676
7740, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,74.66666667,46.94444444,23.76736111,0.628720238,-0.184597232
7920, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76,50,25.16470798,0.657894737,-0.195708343
8100, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,75.33333333,50,25.16619183,0.663716814,-0.190152788
8280, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76.66666667,50.27777778,25.16508954,0.655797101,-0.201263899
8460, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,74,50.55555556,25.7247151,0.683183183,-0.179041676
8640, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,72,49.16666667,25.16782407,0.68287037,-0.16237501
8820, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76.66666667,45.55555556,22.92652371,0.594202899,-0.201263899
9000, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,77.33333333,45.27777778,22.64734687,0.585488506,-0.206819454
9180, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,73.33333333,45.44444444,15.68423822,0.61969697,-0.173486121
9360, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,73.33333333,45.83333333,15.88606532,0.625,-0.173486121
9540, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,78,48.33333333,16.42520096,0.61965812,-0.21237501
9720, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76.66666667,50.27777778,17.04826488,0.655797101,-0.201263899
9900, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,72.66666667,50.83333333,20.08885597,0.699541284,-0.167930565
10080, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76.66666667,50.27777778,25.16508954,0.655797101,-0.201263899
10260, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,78,47.22222222,24.03846154,0.605413105,-0.21237501
10440, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,74,45.66666667,23.31891026,0.617117117,-0.179041676
10620, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,73.33333333,45.55555556,22.93320106,0.621212121,-0.173486121
10800, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,27,0.43762499,76.66666667,46.66666667,23.20951618,0.608695652,-0.201263899
10980, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,78,50.55555556,25.16390246,0.648148148,-0.344000012
11160, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,74,47.16666667,23.77065527,0.637387387,-0.310666678
11340, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,72.66666667,50.27777778,25.44990503,0.691896024,-0.299555567
11520, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,77.33333333,50.55555556,25.71729582,0.653735632,-0.338444456
11700, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,78,47.5,24.04030576,0.608974359,-0.344000012
11880, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,74,46.88888889,23.21664292,0.633633634,-0.310666678
12060, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,74,50.27777778,25.17108856,0.679429429,-0.310666678
12240, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,78.66666667,50.55555556,25.43841575,0.642655367,-0.349555567
12420, COORD, 22e4fcdb-d6ac-492e-8577-e87a68fca814,0.832499996,36,0.305999988,76,50.83333333,25.99804131,0.668859649,-0.327333345
