time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 2.8333333333333335, 2.1666666666666665, 0.25925925925925924, 
360.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.8333333333333335, 0.4722222222222222, 
540.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.8333333333333335, 0.4722222222222222, 
720.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.9444444444444446, 0.49074074074074076, 
900.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.8333333333333335, 0.4722222222222222, 
1080.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.888888888888889, 0.48148148148148157, 
1260.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.8333333333333335, 0.4722222222222222, 
1440.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.0, 0.8240740740740741, 
1620.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.2777777777777777, 0.9166666666666666, 
1800.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.9444444444444446, 0.8148148148148149, 
1980.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.0, 0.8240740740740741, 
2160.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.0555555555555554, 0.8796296296296298, 
2340.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.9444444444444446, 0.8148148148148149, 
2520.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 2.9444444444444446, 0.8148148148148149, 
2700.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.111111111111111, 0.8888888888888888, 
2880.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.0555555555555554, 0.8796296296296297, 
3060.0, COORD, f7af72c4-d759-4bb3-8a98-6e5ca92a9bbe, 0.875, 0.5, 0.8676874998956918, 3.0, 3.0, 0.8703703703703705, 
