time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 10.5, 4.222222222222222, 0.2469135802469136, 
360.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 16.5, 6.666666666666667, 0.46404320987654324, 
540.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 16.0, 6.5, 0.4774985302763082, 
720.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 15.833333333333334, 6.277777777777778, 0.4585978835978836, 
900.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.666666666666666, 6.0, 0.4806878306878308, 
1080.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.833333333333334, 6.111111111111111, 0.5285273368606702, 
1260.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 14.166666666666666, 6.0, 0.5059523809523809, 
1440.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 14.333333333333334, 6.055555555555555, 0.48994708994708996, 
1620.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 14.833333333333334, 6.5, 0.8711493239271018, 
1800.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.5, 6.5, 0.5473544973544976, 
1980.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.666666666666666, 6.611111111111111, 0.6109347442680776, 
2160.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 15.333333333333334, 6.555555555555555, 0.6067974720752499, 
2340.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 15.833333333333334, 6.111111111111111, 0.4946869488536156, 
2520.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.0, 6.222222222222222, 0.6127425044091711, 
2700.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 15.666666666666666, 6.055555555555555, 0.46062610229276907, 
2880.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 16.166666666666668, 6.166666666666667, 0.44162257495590823, 
3060.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 15.166666666666666, 6.444444444444445, 0.5106481481481482, 
3240.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 13.5, 6.0, 0.503968253968254, 
3420.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 14.0, 6.555555555555555, 0.5629409171075839, 
3600.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 0.5, 0.8676874998956918, 14.833333333333334, 6.055555555555555, 0.46851851851851856, 
3780.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 16.166666666666668, 6.111111111111111, 0.4097001763668431, 
3960.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 16.666666666666668, 6.166666666666667, 0.4274250440917108, 
4140.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 15.333333333333334, 6.0, 0.43686067019400354, 
4320.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 15.5, 6.055555555555555, 0.475705467372134, 
4500.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 16.5, 6.0, 0.43505291005291, 
4680.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 14.5, 6.055555555555555, 0.46772486772486777, 
4860.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 14.666666666666666, 6.0, 0.5329365079365079, 
5040.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 14.5, 6.055555555555555, 0.59484126984127, 
5220.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 15.833333333333334, 6.0, 0.4470017636684304, 
5400.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 16.833333333333332, 6.055555555555555, 0.4486772486772487, 
5580.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 15.0, 6.055555555555555, 0.44316578483245156, 
5760.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 16.166666666666668, 6.222222222222222, 0.49164462081128757, 
5940.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 13.333333333333334, 6.222222222222222, 0.5851410934744269, 
6120.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 14.666666666666666, 6.055555555555555, 0.8352292768959437, 
6300.0, COORD, 344a96f5-ed1c-4f51-9e41-75da48c27c0a, 0.875, 1.0, 0.8603749997913838, 17.0, 6.555555555555555, 0.43602292768959433, 
