time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,39.33333333,13.11111111,0.203703704,0.333333333
360, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,53.16666667,20,0.413886187,0.376175549
540, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,59.33333333,20,0.360648417,0.337078652
720, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,60,20.22222222,0.364564761,0.337037037
900, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,58,20,0.396369641,0.344827586
1080, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,62.16666667,48.88888889,0.829394583,0.786416443
1260, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,59.83333333,50,0.864286229,0.835654596
1440, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,58.66666667,50.27777778,0.883731708,0.857007576
1620, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,58,50.27777778,0.95500763,0.866858238
1800, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,61.66666667,50,0.862599392,0.810810811
1980, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,59.33333333,50.55555556,0.881804321,0.852059925
2160, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,55.66666667,50.27777778,0.978444421,0.903193613
2340, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,58.83333333,50,0.953266668,0.849858357
2520, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,64.16666667,50.27777778,0.846862949,0.783549784
2700, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,57.83333333,50,0.90277184,0.864553314
2880, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,54.16666667,40,0.767150571,0.738461538
3060, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,63.16666667,40.22222222,0.681305095,0.636763412
3240, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,56.83333333,40,0.786235922,0.703812317
3420, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,60.33333333,40.22222222,0.70877599,0.666666667
3600, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,4,0.773999995,54,40,0.804043587,0.740740741
3780, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,59.33333333,40.22222222,0.763379937,0.677902622
3960, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,67.16666667,40,0.620801174,0.595533499
4140, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,56.16666667,40,0.762701488,0.712166172
4320, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,59.66666667,40.22222222,0.711547555,0.674115456
4500, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,60.33333333,40,0.692796134,0.662983425
4680, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,69,40.22222222,0.627839851,0.582930757
4860, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,61.5,40,0.837999245,0.650406504
5040, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,54.83333333,40.22222222,0.775318085,0.733535968
5220, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,60,40,0.721101253,0.666666667
5400, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,60.66666667,40.22222222,0.767001582,0.663003663
5580, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,63.33333333,40,0.665913919,0.631578947
5760, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,54.16666667,40,0.798402832,0.738461538
5940, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,54.83333333,40.22222222,0.792705127,0.733535968
6120, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,60.66666667,40,0.747909702,0.659340659
6300, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,52.33333333,40.22222222,0.867182931,0.768577495
6480, COORD, a56d3743-b18d-4042-af9d-afe4b24ef613,0.832499996,8,0.715499994,62,40,0.711753678,0.64516129
