time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega
180.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 1.0, 0.8603749997913838, 21.0, 6.555555555555555, 0.19135802469135807, 
360.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 1.0, 0.8603749997913838, 32.666666666666664, 10.0, 0.325368818424374, 
540.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 1.0, 0.8603749997913838, 33.833333333333336, 10.0, 0.30588444477333365, 
720.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 1.0, 0.8603749997913838, 27.5, 10.11111111111111, 0.39847883597883593, 
900.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 1.0, 0.8603749997913838, 26.166666666666668, 10.0, 0.4481381000988844, 
1080.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 29.666666666666668, 16.333333333333332, 0.5669500252833586, 
1260.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.833333333333332, 20.0, 0.7173332295881314, 
1440.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 27.5, 20.11111111111111, 0.8324915824915824, 
1620.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 29.5, 20.11111111111111, 0.7298668409779521, 
1800.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.0, 20.0, 0.7047167308605217, 
1980.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.5, 20.22222222222222, 0.6683435905658128, 
2160.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.666666666666668, 20.11111111111111, 0.6853234214345325, 
2340.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 33.833333333333336, 20.0, 0.6190650912873135, 
2520.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 30.5, 20.11111111111111, 0.7125862820307264, 
2700.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 30.666666666666668, 20.0, 0.7177662872107317, 
2880.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 29.666666666666668, 20.0, 0.7177314938752848, 
3060.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.5, 20.11111111111111, 0.6628628573073018, 
3240.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 28.5, 20.0, 0.7700361850688647, 
3420.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 30.0, 20.11111111111111, 0.7364875350986461, 
3600.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 6.0, 0.7872499987483025, 31.333333333333332, 20.0, 0.6848367681701013, 
3780.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 7.0, 0.7726249985396862, 27.5, 20.11111111111111, 0.8271512438179105, 
3960.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 7.0, 0.7726249985396862, 29.833333333333332, 20.0, 0.6883024383024382, 
4140.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 7.0, 0.7726249985396862, 28.666666666666668, 20.0, 0.7385361552028218, 
4320.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 7.0, 0.7726249985396862, 31.666666666666668, 20.11111111111111, 0.7182806905029125, 
4500.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 7.0, 0.7726249985396862, 28.0, 20.0, 0.88123707568152, 
4680.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 28.666666666666668, 20.11111111111111, 0.7401302401302402, 
4860.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 32.5, 20.0, 0.6462940351829239, 
5040.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 29.0, 20.11111111111111, 0.7478330311663643, 
5220.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 29.333333333333332, 20.0, 0.7372267650045428, 
5400.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 30.0, 20.11111111111111, 0.7259366148255036, 
5580.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 26.833333333333332, 20.0, 0.8036449147560258, 
5760.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 29.0, 20.0, 0.754867560423116, 
5940.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 28.166666666666668, 20.11111111111111, 0.7453878426100649, 
6120.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 32.0, 20.0, 0.69054453776676, 
6300.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 30.5, 20.11111111111111, 0.7244391411058078, 
6480.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 30.666666666666668, 20.0, 0.6670983337650004, 
6660.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 32.166666666666664, 20.11111111111111, 0.6836234752901418, 
6840.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 26.0, 20.0, 0.821749238415905, 
7020.0, COORD, f2b509f7-f168-40d3-ae04-518096f0e52d, 0.875, 12.0, 0.699499997496605, 31.666666666666668, 20.0, 0.6789188178077067, 
