time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,1.5,0.8530625,38.5,11.88888889,0.188712522,0.308802309
360, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,1.5,0.8530625,62,18,0.295405907,0.290322581
540, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,1.5,0.8530625,55.66666667,18,0.358813579,0.323353293
720, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,1.5,0.8530625,63.83333333,18.38888889,0.301150482,0.288076588
900, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,1.5,0.8530625,58.5,18.33333333,0.331824677,0.313390313
1080, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,18.5,0.604437496,54.5,38.27777778,0.706191355,0.702344546
1260, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.875,18.5,0.604437496,62,50,0.836936885,0.806451613
1440, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,114.7222222,50.27777778,0.445315386,0.438256659
1620, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,99.72222222,50.27777778,0.535164332,0.504178273
1800, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,108.3333333,50,0.475155618,0.461538462
1980, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,96.66666667,79.22222222,0.839461017,0.81954023
2160, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,95.83333333,80.44444444,0.852649194,0.83942029
2340, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,93.88888889,80,0.889603273,0.852071006
2520, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,103.0555556,80.44444444,0.803516758,0.780592992
2700, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,96.94444444,80,0.847854873,0.8252149
2880, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,97.77777778,70,0.744265743,0.715909091
3060, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,94.16666667,70.38888889,0.7782716,0.747492625
3240, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,95.27777778,70,0.764018887,0.734693878
3420, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,97.5,70.38888889,0.737010293,0.721937322
3600, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,18.5,0.529437493,103.3333333,70,0.706464798,0.677419355
3780, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,20,0.507499993,94.72222222,70.38888889,0.763811189,0.743108504
3960, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,20,0.507499993,106.1111111,70,0.677546455,0.659685864
4140, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,20,0.507499993,103.8888889,70,0.711768987,0.673796791
4320, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,20,0.507499993,101.9444444,70.38888889,0.716384139,0.690463215
4500, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,20,0.507499993,99.16666667,70,0.72466041,0.705882353
4680, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,37,0.258874989,96.11111111,70.38888889,0.75482437,0.732369942
4860, COORD, 12aa590d-b475-4a5d-8e19-3bb60e2cc54c,0.799999997,37,0.258874989,93.33333333,70,0.800411582,0.75
