time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,21,6.555555556,0.191358025,0.312169312
360, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,31.16666667,10,0.348978696,0.320855615
540, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,28.16666667,10,0.398297176,0.355029586
720, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,30.83333333,10.11111111,0.342890957,0.327927928
900, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,32,10,0.342736996,0.3125
1080, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,32.83333333,10.11111111,0.325753208,0.307952623
1260, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,29,10,0.39435436,0.344827586
1440, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,28.16666667,10.05555556,0.381253006,0.357001972
1620, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,31,10.05555556,0.343649693,0.32437276
1800, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,31.16666667,10,0.367352812,0.320855615
1980, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,30.16666667,10.11111111,0.356918801,0.335174954
2160, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,28.33333333,10.05555556,0.430380191,0.354901961
2340, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,30.16666667,10,0.354793355,0.331491713
2520, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,31.33333333,10.05555556,0.336943278,0.320921986
2700, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,27.83333333,10,0.382001229,0.359281437
2880, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,27.33333333,10,0.395571507,0.365853659
3060, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,29.66666667,10.05555556,0.389756848,0.338951311
3240, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,28.83333333,10,0.401352067,0.346820809
3420, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,27,10.05555556,0.412138016,0.372427984
3600, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,1,0.860375,30.33333333,10,0.352521964,0.32967033
3780, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,31.33333333,10.05555556,0.336620889,0.320921986
3960, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,27.33333333,10,0.395858771,0.365853659
4140, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,29,10,0.357677302,0.344827586
4320, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.5,10.05555556,0.343636816,0.329690346
4500, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,27.83333333,10,0.379698491,0.359281437
4680, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.5,10.05555556,0.360624972,0.329690346
4860, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,29.83333333,10,0.344805914,0.335195531
5040, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,29.5,10.05555556,0.376082302,0.34086629
5220, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.83333333,10,0.356382815,0.324324324
5400, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,31.5,10.05555556,0.336017635,0.319223986
5580, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,32,10,0.335583398,0.3125
5760, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,29,10,0.410003063,0.344827586
5940, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.83333333,10.05555556,0.347917206,0.326126126
6120, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,32.16666667,10,0.318865291,0.310880829
6300, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,27.5,10.05555556,0.406916643,0.365656566
6480, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,27.5,10,0.401034151,0.363636364
6660, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.83333333,10.05555556,0.360966194,0.326126126
6840, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,30.5,10,0.350882656,0.327868852
7020, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,28.5,10,0.377004169,0.350877193
7200, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,2,0.84575,31,10.05555556,0.341143681,0.32437276
7380, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,29.66666667,10,0.368339479,0.337078652
7560, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,27,10.05555556,0.406019906,0.372427984
7740, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31.5,10,0.334036334,0.317460317
7920, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,32.16666667,10.05555556,0.347175458,0.312607945
8100, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31.66666667,10,0.339269784,0.315789474
8280, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,28.83333333,10.05555556,0.375341428,0.348747592
8460, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31,10.11111111,0.346323687,0.326164875
8640, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,27.83333333,10.11111111,0.406186586,0.363273453
8820, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,30.5,10.11111111,0.351616696,0.33151184
9000, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,28.83333333,10.05555556,0.370445912,0.348747592
9180, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,30.66666667,10.11111111,0.358738097,0.329710145
9360, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,28,10.16666667,0.399330608,0.363095238
9540, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31.16666667,10.05555556,0.357253909,0.322638146
9720, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,28.66666667,10.05555556,0.403043716,0.350775194
9900, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31.16666667,10.16666667,0.349941211,0.326203209
10080, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,31.33333333,10.05555556,0.349898377,0.320921986
10260, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,30.83333333,10.05555556,0.349190419,0.326126126
10440, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,29.5,10.16666667,0.39240492,0.344632768
10620, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,30.83333333,10.11111111,0.347849167,0.327927928
10800, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,3,0.831124999,34.66666667,10.05555556,0.298971913,0.290064103
10980, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,30.5,10.11111111,0.364103489,0.33151184
11160, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,28.83333333,10.11111111,0.371531452,0.350674374
11340, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,29.66666667,10.05555556,0.367138006,0.338951311
11520, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,31.83333333,10.11111111,0.339385923,0.317626527
11700, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,29.5,10.11111111,0.382726738,0.342749529
11880, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,32.66666667,10.11111111,0.330570613,0.30952381
12060, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,33.16666667,10.05555556,0.329775934,0.30318258
12240, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,32.33333333,10.11111111,0.333767056,0.312714777
12420, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,26.66666667,10.16666667,0.426975545,0.38125
12600, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,27,10.05555556,0.409551868,0.372427984
12780, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,29,10.05555556,0.388858364,0.346743295
12960, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,33,10.16666667,0.333970762,0.308080808
13140, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,30.83333333,10.05555556,0.357734138,0.326126126
13320, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,31.66666667,10.05555556,0.359848742,0.31754386
13500, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,26.66666667,10.16666667,0.410109695,0.38125
13680, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,29.5,10.11111111,0.376008816,0.342749529
13860, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,28.16666667,10.05555556,0.384741596,0.357001972
14040, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,33.83333333,10.11111111,0.309981685,0.298850575
14220, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,32.16666667,10.11111111,0.347701938,0.31433506
14400, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,4,0.816499999,28.5,10.05555556,0.416938,0.352826511
14580, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,5,0.801874999,31,10.11111111,0.34143223,0.326164875
14760, COORD, 6d99d4ec-2c46-445f-9f6c-328e4fd58010,0.875,5,0.801874999,26.5,10.11111111,0.41650659,0.381551363
