time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,
180, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,19.66666667,6.555555556,0.203703704,0.333333333
360, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,27.5,10,0.482711294,0.363636364
540, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,28.66666667,10,0.419288092,0.348837209
720, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,29.16666667,10.11111111,0.390291139,0.346666667
900, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,25.66666667,10,0.515976984,0.38961039
1080, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,29.83333333,10.11111111,0.394998777,0.338919926
1260, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,31.66666667,10,0.380107184,0.315789474
1440, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,27.16666667,10.05555556,0.431084091,0.370143149
1620, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,34,10.05555556,0.327804473,0.295751634
1800, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,26.5,10,0.538454087,0.377358491
1980, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,29.16666667,10.11111111,0.394932177,0.346666667
2160, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,27.33333333,10.05555556,0.457404735,0.367886179
2340, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,27.66666667,10,0.470128455,0.361445783
2520, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,30.16666667,10.05555556,0.444582167,0.333333333
2700, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,30.33333333,10,0.380495533,0.32967033
2880, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,35,10,0.36400978,0.285714286
3060, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,30,10.05555556,0.367913465,0.335185185
3240, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,25.5,10,0.578643579,0.392156863
3420, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,33.16666667,10.05555556,0.35005871,0.30318258
3600, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,1,0.817874996,27.33333333,10,0.422526109,0.365853659
3780, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,26.66666667,10.05555556,0.543652849,0.377083333
3960, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,33.16666667,10,0.342205709,0.301507538
4140, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,27.16666667,10,0.45579942,0.36809816
4320, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,35.16666667,10.05555556,0.347655412,0.285939968
4500, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,33.5,10,0.346139276,0.298507463
4680, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,27,10.05555556,0.454391106,0.372427984
4860, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,30.66666667,10,0.341040133,0.326086957
5040, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,26.83333333,10.05555556,0.46399177,0.374741201
5220, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,35.66666667,10,0.319137033,0.280373832
5400, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,34.5,10.05555556,0.347630719,0.291465378
5580, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,32.16666667,10,0.344663567,0.310880829
5760, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,33.66666667,10,0.340774784,0.297029703
5940, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,30.83333333,10.05555556,0.362952377,0.326126126
6120, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,31.5,10,0.337090636,0.317460317
6300, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,28.5,10.05555556,0.430120624,0.352826511
6480, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,27.16666667,10,0.412655579,0.36809816
6660, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,35,10.05555556,0.374180936,0.287301587
6840, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,34.16666667,10,0.336658092,0.292682927
7020, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,32.16666667,10,0.360309444,0.310880829
7200, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,2,0.803249995,29.66666667,10.05555556,0.378094128,0.338951311
7380, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,29.66666667,10,0.430491576,0.337078652
7560, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,28.33333333,10.05555556,0.400054164,0.354901961
7740, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,29.66666667,10,0.520297679,0.337078652
7920, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,30.33333333,10.05555556,0.375479716,0.331501832
8100, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,30.33333333,10,0.380911013,0.32967033
8280, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,33.66666667,10.05555556,0.350182482,0.298679868
8460, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,30.83333333,10.11111111,0.428543292,0.327927928
8640, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,28,10.11111111,0.472861552,0.361111111
8820, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,25.33333333,10.11111111,0.507214312,0.399122807
9000, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,27.33333333,10.05555556,0.436535995,0.367886179
9180, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,29,10.11111111,0.395087755,0.348659004
9360, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,33.16666667,10.16666667,0.353410424,0.306532663
9540, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,31.83333333,10.05555556,0.360392437,0.315881326
9720, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,31.33333333,10.05555556,0.354571663,0.320921986
9900, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,31.83333333,10.16666667,0.372699317,0.319371728
10080, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,30.16666667,10.05555556,0.392124337,0.333333333
10260, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,28.66666667,10.05555556,0.464462311,0.350775194
10440, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,25.83333333,10.16666667,0.486275504,0.393548387
10620, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,32,10.11111111,0.365586341,0.315972222
10800, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,3,0.788624995,30.33333333,10.05555556,0.351670192,0.331501832
10980, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,32,10.11111111,0.442403557,0.315972222
11160, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,27.66666667,10.11111111,0.42288293,0.365461847
11340, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,27.83333333,10.05555556,0.449705977,0.361277445
11520, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,28,10.11111111,0.428748515,0.361111111
11700, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,31.16666667,10.11111111,0.369557397,0.324420677
11880, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,29.83333333,10.11111111,0.39615793,0.338919926
12060, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,27.83333333,10.05555556,0.447036605,0.361277445
12240, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,28.66666667,10.11111111,0.419817323,0.352713178
12420, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,31,10.16666667,0.385673951,0.327956989
12600, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,30.66666667,10.05555556,0.397158243,0.327898551
12780, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,28.16666667,10.05555556,0.415585186,0.357001972
12960, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,33.66666667,10.16666667,0.331810936,0.301980198
13140, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,28.16666667,10.05555556,0.442702873,0.357001972
13320, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,29.5,10.05555556,0.402748305,0.34086629
13500, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,30.16666667,10.16666667,0.406816563,0.337016575
13680, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,24.16666667,10.11111111,0.475440249,0.418390805
13860, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,30,10.05555556,0.373601193,0.335185185
14040, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,25.83333333,10.11111111,0.485120973,0.391397849
14220, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,29.66666667,10.11111111,0.4095105,0.34082397
14400, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,4,0.773999995,32.16666667,10.05555556,0.359581648,0.312607945
14580, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,33.16666667,10.11111111,0.331168317,0.304857621
14760, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,26,10.11111111,0.466699453,0.388888889
14940, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,27.33333333,10.11111111,0.443219949,0.369918699
15120, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,31.16666667,10.05555556,0.419294773,0.322638146
15300, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,33.16666667,10.11111111,0.357274464,0.304857621
15480, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,29.33333333,10.16666667,0.379281598,0.346590909
15660, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,31.33333333,10.05555556,0.36465849,0.320921986
15840, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,32.33333333,10.05555556,0.346818638,0.310996564
16020, COORD, 4013f319-0c4d-430f-b0da-b47fb86cc962,0.832499996,5,0.759374995,28,10.16666667,0.437046311,0.363095238
